pred_probs_arrivals,mean_p_arrivals,capacity_arrivals,trial,date
97.0,96.0,76.0,0,2017-06-12
79.0,87.0,67.0,0,2017-04-01
80.0,88.0,67.0,0,2017-06-03
61.0,74.0,56.0,0,2017-06-13
92.0,105.0,85.0,0,2017-06-20
103.0,104.0,88.0,0,2017-05-29
95.0,103.0,74.0,0,2017-06-25
99.0,111.0,85.0,0,2017-06-28
83.0,96.0,78.0,0,2017-06-30
85.0,96.0,66.0,0,2017-06-27
73.0,80.0,58.0,0,2017-06-21
71.0,79.0,61.0,0,2017-06-26
98.0,112.0,81.0,0,2017-06-19
98.0,105.0,85.0,0,2017-06-29
98.0,79.0,72.0,0,2017-07-05
92.0,87.0,73.0,0,2017-07-01
78.0,78.0,66.0,0,2017-07-06
74.0,70.0,46.0,0,2017-04-25
90.0,84.0,75.0,0,2017-07-10
91.0,100.0,76.0,0,2017-07-08
84.0,82.0,74.0,0,2017-06-17
84.0,94.0,60.0,0,2017-06-18
88.0,103.0,80.0,0,2017-07-07
84.0,97.0,77.0,0,2017-06-10
75.0,68.0,65.0,0,2017-06-22
79.0,84.0,57.0,0,2017-06-15
85.0,86.0,69.0,0,2017-07-13
97.0,102.0,82.0,0,2017-06-23
86.0,89.0,61.0,0,2017-07-15
87.0,90.0,78.0,0,2017-07-18
76.0,82.0,65.0,0,2017-07-11
75.0,84.0,62.0,0,2017-07-17
78.0,85.0,58.0,0,2017-04-02
90.0,98.0,79.0,0,2017-07-19
105.0,114.0,87.0,0,2017-07-02
88.0,96.0,74.0,0,2017-06-24
100.0,106.0,80.0,0,2017-07-23
83.0,96.0,70.0,0,2017-07-12
81.0,93.0,64.0,0,2017-07-03
80.0,75.0,65.0,0,2017-07-09
103.0,114.0,84.0,0,2017-06-14
105.0,99.0,84.0,0,2017-07-28
104.0,113.0,85.0,0,2017-07-24
95.0,82.0,66.0,0,2017-05-28
84.0,83.0,71.0,0,2017-07-31
108.0,103.0,79.0,0,2017-07-29
83.0,94.0,74.0,0,2017-07-04
97.0,108.0,82.0,0,2017-07-26
102.0,112.0,86.0,0,2017-07-20
96.0,104.0,87.0,0,2017-07-25
102.0,100.0,75.0,0,2017-07-16
76.0,86.0,62.0,0,2017-08-02
102.0,110.0,82.0,0,2017-08-10
103.0,119.0,90.0,0,2017-08-13
91.0,91.0,83.0,0,2017-08-14
98.0,107.0,90.0,0,2017-08-01
85.0,104.0,83.0,0,2017-07-30
100.0,101.0,85.0,0,2017-08-08
98.0,98.0,75.0,0,2017-08-09
91.0,96.0,67.0,0,2017-07-22
92.0,94.0,70.0,0,2017-08-17
109.0,107.0,82.0,0,2017-08-15
106.0,112.0,75.0,0,2017-08-04
96.0,98.0,87.0,0,2017-08-05
100.0,119.0,88.0,0,2017-07-27
95.0,114.0,89.0,0,2017-07-14
83.0,99.0,72.0,0,2017-08-07
100.0,108.0,86.0,0,2017-08-19
106.0,125.0,89.0,0,2017-08-26
109.0,124.0,97.0,0,2017-08-23
103.0,106.0,80.0,0,2017-08-21
108.0,113.0,90.0,0,2017-08-18
106.0,120.0,90.0,0,2017-08-25
118.0,129.0,100.0,0,2017-08-29
102.0,103.0,93.0,0,2017-08-03
100.0,104.0,78.0,0,2017-07-21
106.0,115.0,95.0,0,2017-08-20
119.0,129.0,100.0,0,2017-08-30
95.0,101.0,78.0,0,2017-08-24
115.0,120.0,95.0,0,2017-08-06
103.0,105.0,84.0,0,2017-08-11
111.0,112.0,92.0,0,2017-08-12
108.0,118.0,92.0,0,2017-08-16
111.0,126.0,95.0,0,2017-08-22
119.0,129.0,100.0,0,2017-08-27
118.0,129.0,100.0,0,2017-08-28
129.0,129.0,100.0,0,2017-08-31
79.0,84.0,67.0,1,2016-10-31
97.0,95.0,77.0,1,2016-11-04
94.0,100.0,73.0,1,2016-11-07
88.0,93.0,66.0,1,2016-11-14
79.0,76.0,54.0,1,2016-11-13
88.0,89.0,63.0,1,2016-11-10
98.0,93.0,82.0,1,2016-10-30
96.0,84.0,70.0,1,2016-11-15
72.0,39.0,33.0,1,2016-11-21
105.0,104.0,83.0,1,2016-11-03
99.0,103.0,74.0,1,2016-11-11
79.0,72.0,64.0,1,2016-11-16
85.0,81.0,62.0,1,2016-11-09
89.0,90.0,73.0,1,2016-11-12
94.0,89.0,68.0,1,2016-11-19
87.0,96.0,72.0,1,2016-11-28
81.0,73.0,65.0,1,2016-11-30
80.0,82.0,61.0,1,2016-11-24
88.0,87.0,78.0,1,2016-11-17
85.0,52.0,41.0,1,2016-12-02
91.0,79.0,66.0,1,2016-12-05
62.0,57.0,44.0,1,2016-11-02
88.0,89.0,70.0,1,2016-11-22
90.0,91.0,71.0,1,2016-12-06
85.0,57.0,37.0,1,2016-12-07
79.0,74.0,48.0,1,2016-12-12
83.0,69.0,54.0,1,2016-12-14
89.0,79.0,65.0,1,2016-11-01
73.0,82.0,69.0,1,2016-11-23
97.0,100.0,75.0,1,2016-12-01
85.0,78.0,58.0,1,2016-11-08
88.0,93.0,80.0,1,2016-11-29
91.0,55.0,49.0,1,2016-12-13
98.0,96.0,79.0,1,2016-12-03
76.0,83.0,56.0,1,2016-12-19
97.0,85.0,63.0,1,2016-12-16
83.0,58.0,45.0,1,2016-12-21
81.0,90.0,69.0,1,2016-12-15
79.0,75.0,59.0,1,2016-12-20
84.0,74.0,71.0,1,2016-12-11
87.0,95.0,71.0,1,2016-12-18
78.0,47.0,34.0,1,2016-12-09
82.0,87.0,59.0,1,2016-12-10
92.0,91.0,76.0,1,2016-12-28
81.0,80.0,59.0,1,2016-11-06
91.0,86.0,63.0,1,2016-11-27
100.0,96.0,76.0,1,2016-11-18
90.0,88.0,66.0,1,2016-11-20
94.0,85.0,66.0,1,2016-12-29
93.0,92.0,71.0,1,2017-01-01
76.0,66.0,52.0,1,2016-12-26
90.0,89.0,75.0,1,2017-01-04
82.0,88.0,75.0,1,2016-12-23
97.0,98.0,83.0,1,2016-11-26
94.0,84.0,66.0,1,2017-01-10
87.0,88.0,68.0,1,2017-01-11
84.0,82.0,61.0,1,2017-01-09
94.0,78.0,61.0,1,2017-01-06
98.0,80.0,63.0,1,2017-01-03
61.0,59.0,51.0,1,2016-12-27
96.0,93.0,73.0,1,2016-12-30
89.0,92.0,66.0,1,2017-01-16
90.0,91.0,71.0,1,2017-01-12
92.0,96.0,73.0,1,2017-01-17
80.0,81.0,66.0,1,2016-12-04
94.0,86.0,65.0,1,2017-01-07
87.0,92.0,77.0,1,2017-01-15
85.0,73.0,46.0,1,2017-01-18
108.0,107.0,83.0,1,2017-01-25
72.0,72.0,58.0,1,2016-12-31
93.0,86.0,74.0,1,2017-01-26
94.0,89.0,58.0,1,2017-01-19
91.0,74.0,57.0,1,2017-01-24
86.0,83.0,59.0,1,2017-01-23
82.0,82.0,60.0,1,2017-01-13
84.0,85.0,59.0,1,2016-12-25
87.0,97.0,67.0,1,2017-01-21
87.0,88.0,72.0,1,2017-02-01
79.0,36.0,40.0,1,2017-02-02
93.0,68.0,62.0,1,2017-01-31
84.0,73.0,69.0,1,2017-02-04
80.0,64.0,47.0,1,2017-02-03
78.0,72.0,53.0,1,2017-02-06
87.0,84.0,66.0,1,2017-01-02
86.0,86.0,67.0,1,2016-11-05
96.0,81.0,69.0,1,2017-01-28
90.0,88.0,71.0,1,2017-01-08
98.0,99.0,76.0,1,2017-01-22
85.0,84.0,68.0,1,2016-12-17
70.0,23.0,14.0,1,2016-11-25
102.0,85.0,65.0,1,2017-01-27
84.0,87.0,70.0,1,2017-02-11
93.0,86.0,66.0,1,2017-02-10
89.0,67.0,58.0,1,2017-01-20
91.0,94.0,59.0,1,2017-02-12
101.0,95.0,77.0,1,2017-01-14
72.0,82.0,61.0,1,2017-02-13
94.0,96.0,78.0,1,2016-12-22
94.0,94.0,77.0,1,2017-02-17
77.0,72.0,62.0,1,2016-12-08
91.0,100.0,70.0,1,2017-02-14
99.0,105.0,76.0,1,2017-02-19
99.0,93.0,73.0,1,2017-02-20
74.0,69.0,55.0,1,2017-02-15
85.0,94.0,69.0,1,2017-02-18
93.0,81.0,74.0,1,2017-02-22
92.0,94.0,76.0,1,2017-02-23
96.0,100.0,69.0,1,2017-01-30
93.0,90.0,68.0,1,2017-02-07
97.0,112.0,81.0,1,2017-01-05
76.0,73.0,59.0,1,2017-02-09
103.0,101.0,83.0,1,2017-02-25
89.0,99.0,59.0,1,2017-02-28
